Bundesland;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Baden-Württemberg;386;388;331;351;465;466;475;501;387;313;414;393;337;321;328;337;303;300;306;275;268;308;305;297;291;313;387;349;360;412;398;449;421;362;378
Bayern;407;379;384;379;466;478;560;547;462;458;447;408;401;391;389;355;332;322;352;341;358;317;303;344;367;391;444;457;444;444;478;543;474;484;478
Berlin;129;82;77;79;105;127;163;171;146;166;162;118;131;128;156;122;110;118;130;112;161;145;156;175;167;179;150;170;162;181;167;184;172;173;152
Brandenburg;124;66;63;48;62;66;79;77;96;94;72;78;79;95;80;81;103;55;77;88;89;80;93;88;88;81;97;100;82;83;87;85;59;90;64
Bremen;17;25;34;39;27;38;32;15;22;26;23;17;15;19;20;19;17;25;19;14;18;29;18;15;25;37;37;35;30;32;50;35;53;23;36
Hamburg;61;47;47;57;79;68;73;88;67;69;78;77;36;55;40;42;54;55;62;71;48;50;59;63;79;71;80;72;68;85;64;77;89;75;78
Hessen;212;202;205;177;236;255;278;272;226;240;228;251;222;218;208;201;187;182;167;209;215;179;198;207;207;219;239;249;239;221;231;257;271;274;249
Mecklenburg-Vorpommern;109;61;50;38;40;65;52;62;62;66;74;75;41;56;52;50;51;65;58;53;64;56;57;66;52;50;67;61;60;74;58;73;61;50;44
Niedersachsen;269;268;234;223;286;300;356;332;315;334;332;310;291;283;260;236;226;224;217;203;216;233;208;227;227;337;238;251;270;306;314;301;308;286;267
Nordrhein-Westfalen;786;695;746;649;757;905;870;865;788;726;686;647;648;597;674;593;576;581;567;507;557;557;551;599;563;653;687;709;726;727;760;788;814;718;685
Rheinland-Pfalz;139;137;151;140;191;196;171;150;174;171;154;127;120;138;149;107;121;104;107;129;115;95;115;106;140;103;128;126;145;167;154;178;157;146;124
Saarland;40;45;44;27;48;40;39;40;41;38;40;32;32;35;37;34;26;28;19;24;20;21;21;23;19;34;33;39;29;36;24;37;39;36;25
Sachsen;192;97;74;79;98;118;136;125;136;138;102;104;98;113;127;102;115;111;123;113;150;132;111;134;159;124;120;146;156;158;141;145;112;109;109
Sachsen-Anhalt;108;86;70;49;84;76;100;75;85;87;76;75;71;87;77;66;57;83;66;69;63;69;63;66;68;64;54;81;87;99;73;72;64;49;61
Schleswig-Holstein;94;102;83;88;113;136;124;119;111;115;114;106;94;96;75;80;80;70;83;68;65;67;88;65;83;82;91;96;105;98;90;121;83;65;96
Thüringen;129;61;67;44;56;71;65;71;72;77;82;63;84;67;56;62;62;48;59;62;59;49;54;81;62;49;58;59;67;57;73;75;70;67;54
